,date,year,headline
0,"May 3, 1972",1972,"J. Edgar Hoover Made the F.B.I. Formidable With Politics, Publicity and Results"
1,"April 7, 1992",1992,"Isaac Asimov, Whose Thoughts and Books Traveled the Universe, Is Dead at 72"
2,"November 12, 1880",1880,Lucretia Mott
3,"September 8, 1969",1969,Dirksen Dead in Capital at 73
4,"August 8, 1938",1938,Stanislavsky Dies in Moscow At 75
5,"November 17, 1961",1961,Rayburn Is Dead; Served 17 Years As House Speaker
6,"June 11, 1976",1976,Adolph Zukor Is Dead at 103; Built Paramount Movie Empire
7,"January 11, 1961",1961,Emily Balch Dies; Won Nobel Prize
8,"April 24, 1994",1994,The 37th President; In Three Decades
9,"March 22, 1998",1998,Galina Ulanova Is Dead at 88; A Revered Bolshoi Ballerina
10,"August 27, 1910",1910,William James Dies; Great Psychologist
11,"November 23, 1916",1916,Jack London Dies Suddenly On Ranch
12,"October 1, 1959",1959,"Ross G. Harrison, Yale Zoologist, 89"
13,"September 6, 1965",1965,"Albert Schweitzer, 90, Dies at His Hospital"
14,"April 5, 1968",1968,Martin Luther King Jr.: Leader of Millions in Nonviolent Drive for Racial Justice
15,"February 16, 1984",1984,"Ethel Merman, Queen of Musicals, Dies at 76"
16,"January 26, 1947",1947,Capone Dead At 48; Dry Era Gang Chief
17,"December 15, 1934",1934,T. A. Watson Dead; Made First Phone
18,"October 13, 1870",1870,Gen. Robert E. Lee
19,"November 1, 1993",1993,"Federico Fellini, Film Visionary, Is Dead at 73"
20,"October 24, 1957",1957,"Dior, 52, Creator Of &aposNew Look,&apos Dies"
21,"September 9, 1953",1953,Vinson Excelled In Federal Posts
22,"February 12, 1948",1948,Sergei Eisenstein Is Dead In Moscow
23,"August 13, 1937",1937,"Edith Wharton, 75, Is Dead in France"
24,"April 3, 1941",1941,Virginia Woolf Believed Dead
25,"April 6, 1964",1964,Commander of Armies That Turned Back Japan Led a Brigade in World War I
26,"November 12, 1945",1945,"Jerome Kern Dies; Noted Composer, 60"
27,"December 21, 1982",1982,Arthur Rubinstein Dies in Geneva at 95
28,"September 7, 1901",1901,President M&aposKinley&aposs Illustrious Career
29,"April 13, 1945",1945,Family Of Wealth Gave Advantages
30,"October 25, 1972",1972,"Jackie Robinson, First Black in Major Leagues, Dies"
31,"May 23, 1967",1967,"Langston Hughes, Writer, 65, Dead"
32,"January 13, 1941",1941,James Joyce Dies; Wrote &aposUlysses&apos
33,"July 28, 1946",1946,"Gertrude Stein Dies In France, 72"
34,"August 27, 1974",1974,Daring Lindbergh Attained the Unattainable With Historic Flight Across Atlantic
35,"July 15, 1965",1965,"Adlai Ewing Stevenson: An Urbane, Witty, Articulate Politician and Diplomat"
36,"August 17, 1948",1948,"Babe Ruth, Baseball&aposs Great Star and Idol of Children, Had a Career Both Dramatic and Bizarre"
37,"February 21, 1895",1895,Death Of Fred Douglass
38,"June 14, 1965",1965,"Martin Buber, 87, Dies in Israel; Renowned Jewish Philosopher"
39,"June 1, 1976",1976,"Jacques Monod, Nobel Biologist, Dies; Thought Existence Is Based on Chance"
40,"May 31, 1960",1960,Pasternak Is Dead; Wrote &aposDr. Zhivago&apos
41,"October 18, 1931",1931,Human Qualities of the Inventor and Varied Aspects of His Busy Life Recalled
42,"April 21, 1882",1882,Death Of Chas. Darwin
43,"August 14, 1989",1989,"William B. Shockley, 79, Creator of Transistor and Theory on Race"
44,"July 3, 1919",1919,"Dr. Anna H. Shaw, Suffragist, Dies"
45,"March 13, 1906",1906,Miss Susan B. Anthony Died This Morning
46,"June 10, 1974",1974,Katharine Cornell Is Dead at 81
47,"June 20, 1956",1956,Thomas J. Watson Sr. Is Dead; I.B.M. Board Chairman Was 82
48,"January 18, 1933",1933,"Louis C. Tiffany, Noted Artist, Dies"
49,"August 27, 1979",1979,"Stan Kenton, Band Leader, Dies; Was Center of Jazz Controversies"
50,"April 24, 1984",1984,"Ansel Adams, Photographer, Is Dead"
51,"June 4, 1987",1987,Andres Segovie Is Dead at 94; His Crusade Elevated Guitar
52,"October 20, 1950",1950,Edna St. V. Millay Found Dead At 58
53,"August 28, 1963",1963,"W. E. B. DuBois Dies in Ghana; Negro Leader and Author, 95"
54,"February 21, 1966",1966,Adm. Nimitz Dead; Built Pacific Fleet That Fought Japan
55,"May 25, 1959",1959,Dulles Formulated and Conducted U.S. Foreign Policy for More Than Six Years
56,"December 16, 1943",1943,"J. H. Kellogg Dies; Health Expert, 91"
57,"September 25, 1971",1971,Justice Black Dies at 85; Served on Court 34 Years
58,"August 21, 1994",1994,Linus C. Pauling Dies at 93; Chemist and Voice for Peace
59,"August 13, 1914",1914,John P. Holland Dead
60,"November 5, 1995",1995,"Assassination in Israel; Yitzhak Rabin, 73, an Israeli Soldier Turned Prime Minister and Peacemaker"
61,"September 26, 1991",1991,"Dr. Seuss, Modern Mother Goose, Dies at 87"
62,"August 3, 1922",1922,"Dr. Bell, Inventor of Telephone, Dies"
63,"April 1, 1931",1931,Knute Rocke Dies with Seven Others in Mail Plane Dive
64,"June 3, 1990",1990,"Rex Harrison, a Leading Man With Urbane Wit, Dies at 82"
65,"September 26, 1933",1933,Ring Lardner Dies; Noted as Writer
66,"December 29, 1937",1937,"Maurice Ravel, 62, Composer, Is Dead"
67,"March 6, 1935",1935,Washington Holds Bright Memories of Justice Holmes&aposs Long and Useful Life
68,"March 28, 1968",1968,Yuri Gagarin Killed As Test Plane Falls
69,"October 10, 1987",1987,"Clare Boothe Luce Dies at 84: Playwright, Politician, Envoy"
70,"April 18, 1990",1990,"Ralph David Abernathy, Rights Pioneer, Is Dead at 64"
71,"April 9, 1935",1935,Adolph S. Ochs Dead at 77; Publisher of Times Since 1896
72,"November 14, 1916",1916,Prof. Lowell Dies; Martian Theory His
73,"April 19, 1955",1955,Dr. Albert Einstein Dies in Sleep at 76; World Mourns Loss of Great Scientist
74,"December 27, 1954",1954,"Liberty H. Bailey, Botanist, Is Dead"
75,"June 19, 1936",1936,Maxim Gorky Dies At Moscow Villa
76,"December 19, 1971",1971,"Bobby Jones, Golf Master, Dies; Only Player to Win Grand Slam"
77,"June 25, 1908",1908,Mr. Cleveland is Dead at 71
78,"July 10, 1974",1974,"Earl Warren, 83, Who Led High Court In Time of Vast Social Change, Is Dead"
79,"March 22, 1915",1915,"F. W. Taylor, Expert in Efficiency, Dies"
80,"July 23, 1932",1932,Florenz Ziegfeld Dies in Hollywood After Long Illness
81,"June 13, 1988",1988,"Louis L&aposAmour, Writer, Is Dead; Famed Chronicler of West Was 80"
82,"May 11, 1977",1977,Joan Crawford Dies at Home
83,"November 1, 1926",1926,Harry Houdini Dies After Operations
84,"September 27, 1945",1945,Bela Bartok Dies In Hospital Here
