,term,score
0,leary,229.85194269730113
1,prison,29.818464141652996
2,drug,28.50503952798848
3,liddy,24.8488586699785
4,drugs,23.54068635359176
5,zachary,23.226998237545843
6,millbrook,23.226998237545843
7,harvard,19.447592241066353
8,dying,19.304197051655734
9,psychedelic,18.636644002483877
10,alpert,18.636644002483877
11,marijuana,17.420248678159382
12,cleaver,17.420248678159382
13,chase,17.361649962372134
14,priest,16.78924658780944
15,tim,16.55720246080404
16,stepson,16.55720246080404
17,fugitive,15.88777180686141
18,timothy,15.88777180686141
19,california,13.284333030026056
20,wine,13.26136559479971
21,intake,12.42442933498925
22,cybernetics,12.42442933498925
23,psilocybin,12.42442933498925
24,software,12.42442933498925
25,gordon,12.398319377444366
26,lsd,11.613499118772921
27,your,11.401945173851495
28,suicide,11.309602896376262
29,researchers,11.03813497386936
30,eldridge,11.03813497386936
31,algeria,10.59184787124094
32,ecstasy,10.59184787124094
33,games,10.414123930708271
34,ins,10.22720475765303
35,web,10.22720475765303
36,mushroom,10.22720475765303
37,dismissed,9.803327064984554
38,berkeley,9.416274541436703
39,experience,9.043883795652789
40,cigarettes,8.84091039653314
41,research,8.640030471958262
42,tune,8.39462329390472
43,high,8.265442100039701
44,drop,8.144297007996709
45,beverly,8.144297007996709
46,richard,7.886087187115544
47,circuit,7.819259149001159
48,experiments,7.721678820662294
49,why,7.645959064094935
50,guests,7.628638789392509
51,era,7.532738080146395
52,celebration,7.454616035413249
53,lecture,7.454616035413249
54,convicted,7.294530620066176
55,others,7.221981680921488
56,politics,7.18350702461316
57,phrase,7.076132036136192
58,trips,7.0083289327848295
59,escape,7.0083289327848295
60,committed,6.942749287138848
61,spiritual,6.879251890509687
62,legal,6.879251890509687
63,free,6.782912846739592
64,religion,6.758002646876818
65,texas,6.758002646876818
66,1960,6.7257682618275085
67,jack,6.588887870820692
68,charges,6.588887870820692
69,eastern,6.535551376656369
70,nixon,6.432964787881268
71,hills,6.3835795627005245
72,video,6.212214667494625
73,fridayan,6.212214667494625
74,meditated,6.212214667494625
75,koestler,6.212214667494625
76,publicist,6.212214667494625
77,psychotherapy,6.212214667494625
78,yoko,6.212214667494625
79,orthodoxies,6.212214667494625
80,www,6.212214667494625
81,relic,6.212214667494625
82,outlaw,6.212214667494625
83,veered,6.212214667494625
84,couri,6.212214667494625
85,obispo,6.212214667494625
86,bonanza,6.212214667494625
87,gstaad,6.212214667494625
88,haldeman,6.212214667494625
89,crackpot,6.212214667494625
90,flouters,6.212214667494625
91,polanski,6.212214667494625
92,cyber,6.212214667494625
93,oxide,6.212214667494625
94,skewered,6.212214667494625
95,corrupter,6.212214667494625
